id,name,deadline_time,average_entry_score,highest_score,finished,data_checked,is_previous,is_current,is_next
1,Speelronde 1,2026-08-07T17:55:00Z,41,96,True,True,False,False,False
2,Speelronde 2,2026-08-14T17:55:00Z,46,103,True,True,False,False,False
3,Speelronde 3,2026-08-22T14:25:00Z,45,128,True,True,True,False,False
4,Speelronde 4,2026-08-28T17:55:00Z,47,108,True,True,False,True,False
5,Speelronde 5,2026-09-04T17:55:00Z,0,,False,False,False,False,True
6,Speelronde 6,2026-09-11T17:55:00Z,0,,False,False,False,False,False
7,Speelronde 7,2026-09-18T17:55:00Z,0,,False,False,False,False,False
8,Speelronde 8,2026-10-10T14:25:00Z,0,,False,False,False,False,False
9,Speelronde 9,2026-10-16T17:55:00Z,0,,False,False,False,False,False
10,Speelronde 10,2026-10-23T17:55:00Z,0,,False,False,False,False,False
11,Speelronde 11,2026-10-31T15:25:00Z,0,,False,False,False,False,False
12,Speelronde 12,2026-11-06T18:55:00Z,0,,False,False,False,False,False
13,Speelronde 13,2026-11-20T23:55:00Z,0,,False,False,False,False,False
14,Speelronde 14,2026-11-27T23:55:00Z,0,,False,False,False,False,False
15,Speelronde 15,2026-12-04T23:55:00Z,0,,False,False,False,False,False
16,Speelronde 16,2026-12-11T23:55:00Z,0,,False,False,False,False,False
17,Speelronde 17,2026-12-18T23:55:00Z,0,,False,False,False,False,False
18,Speelronde 18,2027-01-08T18:55:00Z,0,,False,False,False,False,False
19,Speelronde 19,2027-01-15T23:55:00Z,0,,False,False,False,False,False
20,Speelronde 20,2027-01-22T23:55:00Z,0,,False,False,False,False,False
21,Speelronde 21,2027-01-29T23:55:00Z,0,,False,False,False,False,False
22,Speelronde 22,2027-02-12T23:55:00Z,0,,False,False,False,False,False
23,Speelronde 23,2027-02-19T23:55:00Z,0,,False,False,False,False,False
24,Speelronde 24,2027-02-26T23:55:00Z,0,,False,False,False,False,False
25,Speelronde 25,2027-03-05T23:55:00Z,0,,False,False,False,False,False
26,Speelronde 26,2027-03-12T23:55:00Z,0,,False,False,False,False,False
27,Speelronde 27,2027-03-19T23:55:00Z,0,,False,False,False,False,False
28,Speelronde 28,2027-04-02T22:55:00Z,0,,False,False,False,False,False
29,Speelronde 29,2027-04-09T22:55:00Z,0,,False,False,False,False,False
30,Speelronde 30,2027-04-23T22:55:00Z,0,,False,False,False,False,False
31,Speelronde 31,2027-04-30T22:55:00Z,0,,False,False,False,False,False
32,Speelronde 32,2027-05-07T22:55:00Z,0,,False,False,False,False,False
33,Speelronde 33,2027-05-16T12:25:00Z,0,,False,False,False,False,False
34,Speelronde 34,2027-05-23T12:25:00Z,0,,False,False,False,False,False
