team_id,team_opta_id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,215,Ajax,AJA,,,,,,,
2,313,AZ,AZ,,,,,,,
3,425,FC Groningen,GRO,,,,,,,
4,324,FC Twente,TWE,,,,,,,
5,325,FC Utrecht,UTR,,,,,,,
6,198,Feyenoord,FEY,,,,,,,
7,316,Fortuna Sittard,FOR,,,,,,,
8,734,Go Ahead Eagles,GAE,,,,,,,
9,320,N.E.C.,NEC,,,,,,,
10,424,PEC Zwolle,PEC,,,,,,,
11,204,PSV,PSV,,,,,,,
12,318,sc Heerenveen,HEE,,,,,,,
13,323,Sparta Rotterdam,SPA,,,,,,,
14,905,Telstar,TEL,,,,,,,
15,539,Excelsior,EXC,,,,,,,
16,701,ADO Den Haag,ADO,,,,,,,
17,314,SC Cambuur,CAM,,,,,,,
18,207,Willem II,WIL,,,,,,,
