gw,player_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,total_points,played,in_dreamteam
2,376,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,377,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,378,90,0,1,0,3,0,0,0,1,0,0,2,6,True,False
2,379,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,380,75,0,0,0,2,0,0,0,0,0,0,0,2,True,False
2,381,45,0,0,0,1,0,0,0,0,0,0,0,1,True,False
2,382,87,0,0,0,2,0,0,0,0,0,0,0,2,True,False
2,383,75,0,0,0,2,0,0,0,0,0,0,0,2,True,False
2,384,14,0,0,0,1,0,0,0,0,0,0,0,1,True,False
2,385,90,0,0,0,2,1,0,0,0,0,4,0,0,True,False
2,386,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,387,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,388,90,0,1,0,2,0,0,0,0,0,0,3,7,True,False
2,389,90,0,0,0,2,0,0,0,0,0,0,0,1,True,False
2,390,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,391,3,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,392,86,0,0,0,2,0,0,0,0,0,0,0,1,True,False
2,393,90,0,0,0,2,0,0,0,0,0,0,0,1,True,False
2,394,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,395,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,396,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,397,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,398,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,399,90,0,0,0,2,0,0,0,0,0,0,0,2,True,False
2,400,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,401,90,1,0,0,2,0,0,0,1,0,0,2,8,True,False
2,402,68,0,0,0,4,0,0,0,0,0,0,0,2,True,False
2,403,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,404,32,1,0,0,0,0,0,0,0,0,0,0,6,True,False
2,405,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,406,72,0,0,0,2,0,0,0,0,0,0,0,2,True,False
2,407,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,408,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,409,57,0,0,0,2,0,0,0,0,0,0,0,1,True,False
2,410,90,0,0,0,2,0,0,0,0,0,0,0,2,True,False
2,411,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,412,90,0,0,0,1,0,0,0,0,0,0,0,2,True,False
2,413,90,1,0,0,1,0,0,0,0,0,0,2,10,True,True
2,414,5,0,0,0,1,0,0,0,0,0,0,0,1,True,False
2,415,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,416,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,417,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,418,90,0,1,0,1,0,0,0,0,0,0,1,6,True,False
2,419,90,0,0,0,1,0,0,0,0,0,0,0,2,True,False
2,420,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,421,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,422,90,0,0,0,1,0,0,0,1,0,0,0,1,True,False
2,423,75,0,1,1,0,0,0,0,0,0,0,0,6,True,False
2,424,28,0,0,0,1,0,0,0,0,0,0,0,1,True,False
2,425,75,0,0,1,0,0,0,0,0,0,0,0,3,True,False
2,426,90,0,0,0,1,0,0,0,0,0,0,0,2,True,False
2,427,84,0,0,1,0,0,0,0,0,0,0,0,3,True,False
2,428,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,429,14,0,0,0,1,0,0,0,0,0,0,0,1,True,False
2,430,61,0,0,1,0,0,0,0,0,0,0,0,3,True,False
2,431,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,432,84,1,1,1,0,0,0,0,0,0,0,3,12,True,True
2,433,5,0,0,0,1,0,0,0,0,0,0,0,1,True,False
2,434,90,0,0,0,3,0,0,0,0,0,6,0,3,True,False
2,435,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,436,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,437,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,438,63,0,0,0,2,0,0,0,0,0,0,0,1,True,False
2,439,33,0,0,0,1,0,0,0,0,0,0,0,1,True,False
2,440,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,441,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,442,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,443,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,444,90,1,0,0,3,0,0,0,1,0,0,0,6,True,False
2,445,90,0,0,0,3,0,0,0,0,0,0,0,1,True,False
2,446,90,0,0,0,3,0,0,0,0,0,0,0,2,True,False
2,447,90,0,0,0,3,0,0,0,0,0,0,0,2,True,False
2,448,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,449,90,0,0,0,3,0,0,0,0,0,0,0,2,True,False
2,450,26,0,0,0,1,0,0,0,0,0,0,0,1,True,False
