player_id,opta_id,first_name,second_name,web_name,known_name,team_id,team_opta_id,team_name,team_short_name,element_type,position,status,news,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,total_points,now_cost,selected_by_percent
1,483122,Jay,Gorter,Gorter,,1,215,Ajax,AJA,1,GK,u,Vertrokken naar Pafos FC,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.0
3,432987,Vítezslav,Jaros,Jaros,,1,215,Ajax,AJA,1,GK,i,Knieblessure,1710,0,0,5,23,1,0,0,1,0,61,2,63,51,12.1
4,477625,Lucas,Rosa,Rosa,,1,215,Ajax,AJA,2,DEF,a,,2143,0,0,8,26,0,0,0,4,0,0,7,75,49,0.3
5,565013,Anton,Gaaei,Gaaei,,1,215,Ajax,AJA,2,DEF,a,,1787,1,6,5,27,0,0,0,3,0,0,5,79,51,9.4
6,551210,Jorrel,Hato,Hato,,1,215,Ajax,AJA,2,DEF,u,Vertrokken naar Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2.9
7,222702,Owen,Wijndal,Wijndal,,1,215,Ajax,AJA,2,DEF,a,,1347,1,1,5,16,0,0,0,3,0,0,2,61,48,3.2
9,498040,Youri,Baas,Baas,,1,215,Ajax,AJA,2,DEF,a,,2759,4,1,9,38,1,0,0,2,1,0,17,120,63,20.3
10,650530,Jorthy,Mokio,Mokio,,1,215,Ajax,AJA,2,DEF,a,,1317,2,3,4,21,0,0,0,1,0,0,3,69,46,2.9
12,240992,Josip,Sutalo,Sutalo,,1,215,Ajax,AJA,2,DEF,i,Blessure,1795,0,0,4,29,1,0,0,1,0,0,4,50,59,4.8
14,56979,Jordan,Henderson,Henderson,,1,215,Ajax,AJA,3,MID,u,Vertrokken naar Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0.0
15,441278,Kenneth,Taylor,Taylor,,1,215,Ajax,AJA,3,MID,u,Vertrokken naar Lazio,1278,2,4,4,19,0,0,0,3,0,0,4,56,97,9.6
16,109065,Davy,Klaassen,Klaassen,,1,215,Ajax,AJA,3,MID,a,,1774,6,2,7,25,0,0,0,1,0,0,8,99,82,4.5
17,174969,Branco,van den Boomen,Van den Boomen,,1,215,Ajax,AJA,3,MID,u,Verhuurd aan Angers SCO,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0.0
18,492771,Kian,Fitz-Jim,Fitz-Jim,,1,215,Ajax,AJA,3,MID,i,Schouderblessure,511,1,0,1,9,0,0,0,2,0,0,1,26,62,0.4
19,492629,Youri,Regeer,Regeer,,1,215,Ajax,AJA,3,MID,a,,1685,0,3,9,17,0,0,0,6,0,0,4,61,64,0.2
21,636852,Sean,Steur,Steur,,1,215,Ajax,AJA,3,MID,a,,1124,1,1,6,16,0,0,0,2,0,0,3,47,42,0.3
22,560116,Rayane,Bounida,Bounida,,1,215,Ajax,AJA,3,MID,a,,820,1,5,3,12,0,0,0,4,0,0,5,54,39,0.8
