id,name,deadline_time,average_entry_score,highest_score,finished,data_checked,is_previous,is_current,is_next
1,Speelronde 1,2025-08-08T17:55:00Z,70,165,True,True,False,False,False
2,Speelronde 2,2025-08-15T17:55:00Z,47,107,True,True,False,False,False
3,Speelronde 3,2025-08-23T14:25:00Z,45,120,True,True,False,False,False
4,Speelronde 4,2025-08-29T17:55:00Z,40,105,True,True,False,False,False
5,Speelronde 5,2025-09-13T14:25:00Z,56,129,True,True,False,False,False
6,Speelronde 6,2025-09-19T17:55:00Z,53,148,True,True,False,False,False
7,Speelronde 7,2025-09-26T17:55:00Z,38,107,True,True,False,False,False
8,Speelronde 8,2025-10-03T17:55:00Z,46,114,True,True,False,False,False
9,Speelronde 9,2025-10-18T14:25:00Z,61,153,True,True,False,False,False
10,Speelronde 10,2025-10-24T17:55:00Z,39,119,True,True,False,False,False
11,Speelronde 11,2025-10-31T18:55:00Z,56,144,True,True,False,False,False
12,Speelronde 12,2025-11-07T18:55:00Z,43,102,True,True,False,False,False
13,Speelronde 13,2025-11-22T15:25:00Z,35,79,True,True,False,False,False
14,Speelronde 14,2025-11-28T18:55:00Z,44,116,True,True,False,False,False
15,Speelronde 15,2025-12-05T18:55:00Z,52,148,True,True,False,False,False
16,Speelronde 16,2025-12-13T15:25:00Z,41,120,True,True,False,False,False
17,Speelronde 17,2025-12-20T15:25:00Z,40,91,True,True,False,False,False
18,Speelronde 18,2026-01-10T15:25:00Z,43,112,True,True,False,False,False
19,Speelronde 19,2026-01-17T15:25:00Z,39,100,True,True,False,False,False
20,Speelronde 20,2026-01-24T15:25:00Z,36,113,True,True,False,False,False
21,Speelronde 21,2026-01-30T18:55:00Z,43,143,True,True,False,False,False
22,Speelronde 22,2026-02-06T18:55:00Z,50,127,True,True,False,False,False
23,Speelronde 23,2026-02-13T18:55:00Z,34,109,True,True,False,False,False
24,Speelronde 24,2026-02-20T18:55:00Z,40,105,True,True,False,False,False
25,Speelronde 25,2026-02-27T18:55:00Z,49,112,True,True,False,False,False
26,Speelronde 26,2026-03-06T18:55:00Z,41,93,True,True,False,False,False
27,Speelronde 27,2026-03-13T18:55:00Z,60,169,True,True,False,False,False
28,Speelronde 28,2026-03-20T18:55:00Z,38,103,True,True,False,False,False
29,Speelronde 29,2026-04-04T14:25:00Z,48,134,True,True,False,False,False
30,Speelronde 30,2026-04-10T17:55:00Z,49,121,True,True,False,False,False
31,Speelronde 31,2026-04-22T17:55:00Z,41,129,True,True,False,False,False
32,Speelronde 32,2026-05-02T14:25:00Z,44,104,True,True,False,False,False
33,Speelronde 33,2026-05-10T14:40:00Z,47,144,True,True,True,False,False
34,Speelronde 34,2026-05-17T12:25:00Z,46,135,True,True,False,True,False
