type,gw,position,player_id,opta_id,name,player_position,points,is_top_player
gw,1,1,344,490731,Gonzalo Crettaz,GK,8,False
gw,1,2,490,554683,Yarek Gasiorowski,DEF,11,False
gw,1,3,47,498481,Denso Kasius,DEF,10,False
gw,1,4,209,229707,Jordan Lotomba,DEF,9,False
gw,1,5,399,231653,Joey Veerman,MID,16,True
gw,1,6,403,45034,Ivan Perisic,MID,15,False
gw,1,7,337,55882,Tjaronn Chery,MID,13,False
gw,1,8,220,460855,Sem Steijn,MID,13,False
gw,1,9,58,447235,Troy Parrott,FWD,16,False
gw,1,10,339,223707,Koki Ogawa,FWD,13,False
gw,1,11,32,120202,Wout Weghorst,FWD,13,False
gw,10,1,387,194122,Joël Drommel,GK,8,False
gw,10,2,419,554837,Oliver Braude,DEF,13,False
gw,10,3,544,630606,Nick Verschuren,DEF,12,False
gw,10,4,179,465252,Yannick Leliendal,DEF,12,False
gw,10,5,99,134408,Marvin Peersman,DEF,11,False
gw,10,6,402,492963,Ismael Saibari,MID,20,True
gw,10,7,279,422185,Mathis Suray,MID,16,False
gw,10,8,182,625588,Nordin Bukala,MID,14,False
gw,10,9,24,568465,Mika Godts,MID,13,False
gw,10,10,52,463414,Sven Mijnans,MID,12,False
gw,10,11,58,447235,Troy Parrott,FWD,11,False
gw,11,1,387,194122,Joël Drommel,GK,14,False
gw,11,2,393,429171,Mauro Júnior,DEF,9,False
gw,11,3,149,490106,Souffian El Karouani,DEF,9,False
gw,11,4,515,85144,Mike te Wierik,DEF,8,False
gw,11,5,402,492963,Ismael Saibari,MID,15,False
gw,11,6,383,446251,Kaj de Rooij,MID,13,False
gw,11,7,558,235905,Dennis Man,MID,12,False
gw,11,8,365,544810,Juho Talvitie,MID,11,False
gw,11,9,313,441441,Jizz Hornkamp,FWD,17,True
gw,11,10,314,544296,Luka Kulenovic,FWD,12,False
gw,11,11,222,451341,Ayase Ueda,FWD,12,False
gw,12,1,457,132100,Ronald Koeman Jr.,GK,11,False
gw,12,2,393,429171,Mauro Júnior,DEF,12,False
gw,12,3,271,491278,Dean James,DEF,11,False
gw,12,4,149,490106,Souffian El Karouani,DEF,11,False
gw,12,5,152,492979,Matisse Didden,DEF,10,False
gw,12,6,371,512115,Olivier Aertssen,DEF,9,False
